@relation features

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute label {arrow,other}

@data
0.310168,2.360551,1.74381,0.73873,7800,8.961879,5.09875,1.201023,arrow
1.079378,4.200363,2.216004,0.527574,2698,7.900266,4.388624,1.869817,arrow
0.399061,3.075126,2.053996,0.667939,2905,7.974189,4.500673,1.073469,arrow
0.47131,3.365586,1.959383,0.582182,5512,8.614683,4.759831,1.362288,arrow
0.524409,2.522429,2.088754,0.828072,6018,8.70251,4.769282,1.283637,arrow
0.965894,4.923908,2.640205,0.536201,4536,8.419801,4.589786,1.701575,arrow
1.22329,2.590592,1.807518,0.697724,5842,8.672828,4.905823,1.805438,arrow
0.488642,4.649865,2.443182,0.525431,3318,8.107117,4.493911,1.37276,arrow
1.148545,3.054353,1.992075,0.652208,2139,7.668094,4.326037,1.637147,arrow
0.956133,2.937309,1.976414,0.672866,5100,8.536996,4.644807,1.431907,arrow
0.493051,5.495107,2.250144,0.409481,2412,7.788212,4.331512,1.31509,arrow
1.119343,3.601758,2.216916,0.615509,4752,8.466321,4.700687,1.996803,arrow
1.089293,2.804743,1.821719,0.649514,6438,8.769973,4.83023,2.124009,arrow
0.515809,3.396355,2.071174,0.609823,5335,8.582044,4.714095,1.392389,arrow
0.434967,5.241347,2.364369,0.4511,4554,8.423761,4.692861,1.010771,arrow
1.131534,3.290821,2.073239,0.630007,3237,8.082402,4.518588,1.563421,arrow
0.373727,2.682121,1.882592,0.701904,4080,8.313852,4.696498,1.279658,arrow
1.255802,2.746084,1.915895,0.697683,2581,7.855932,4.53909,1.840688,arrow
1.137442,3.057984,2.083106,0.681202,2077,7.63868,4.301685,1.94082,arrow
1.293709,2.16514,1.72007,0.794438,3379,8.125335,4.730238,2.169163,arrow
1.207185,3.371298,2.118074,0.628267,4859,8.488588,4.795004,1.834669,arrow
1.287002,2.45881,1.775254,0.721997,4200,8.34284,4.828314,2.147997,arrow
1.130954,3.03921,2.003775,0.659308,1224,7.109879,4.031846,2.328559,arrow
1.176005,2.177774,1.623217,0.745356,2160,7.677864,4.356709,2.015291,arrow
1.150133,2.999166,2.006929,0.669162,646,6.4708,3.728805,1.763968,arrow
1.152572,3.891622,2.051657,0.527198,900,6.802395,3.896793,1.682032,arrow
1.216799,2.713576,1.912395,0.704751,3128,8.048149,4.5858,1.647319,arrow
1.221189,2.183534,1.734202,0.794218,3360,8.119696,4.626748,1.936625,arrow
1.145174,3.194207,2.023766,0.633574,2550,7.843849,4.41094,1.730227,arrow
0.439113,3.54657,2.052613,0.57876,8184,9.009936,4.982479,1.102416,arrow
1.107149,2.687156,1.745426,0.649544,4802,8.476788,4.696539,1.890485,arrow
0.968509,4.49304,2.314034,0.515026,704,6.556778,3.65927,1.497768,arrow
1.208495,3.073209,2.114526,0.688051,5828,8.670429,4.887401,2.248406,arrow
0.25169,2.120416,1.760235,0.830137,1260,7.138867,4.280509,0.898532,arrow
1.243396,2.575429,1.823137,0.707896,954,6.860664,4.024873,1.616535,arrow
1.124691,2.722214,1.948443,0.715757,1012,6.919684,3.931633,2.251353,arrow
1.05392,3.810126,2.122617,0.557099,5130,8.542861,4.693867,1.94599,arrow
1.238177,2.577449,1.837541,0.71293,1045,6.951772,4.063702,1.607747,arrow
1.34552,1.889927,1.58518,0.838752,2112,7.655391,4.589941,1.773278,arrow
1.23837,2.728133,1.86259,0.682734,2436,7.798113,4.487119,2.195978,arrow
1.265349,2.575161,1.833373,0.711945,3885,8.264878,4.756923,2.293898,arrow
1.291189,2.150023,1.69774,0.789638,2929,7.982416,4.654731,1.944807,arrow
0.423439,2.609761,1.855242,0.710886,2272,7.728416,4.355145,1.023879,arrow
0.951844,4.058992,2.331322,0.57436,3796,8.241703,4.495657,1.679423,arrow
1.27102,2.819738,2.031996,0.720633,935,6.840547,4.052956,1.986949,arrow
0.455101,2.315324,1.868011,0.806803,4324,8.371936,4.650639,1.282459,arrow
0.397729,2.941636,1.816981,0.617677,11999,9.392579,5.21117,1.204512,arrow
1.053978,3.549336,2.106061,0.593368,10981,9.303922,5.074431,1.516626,arrow
1.122073,2.306652,1.721728,0.746419,5616,8.633375,4.786379,1.48453,arrow
0.261822,1.749747,1.588931,0.908092,6273,8.74401,5.065112,1.007875,arrow
1.135254,2.392524,1.738563,0.726665,4747,8.465268,4.713129,2.166457,arrow
0.98772,3.251917,1.832638,0.563556,13113,9.481359,5.129356,1.502567,arrow
0.263467,1.944641,1.58917,0.817205,6232,8.737453,5.058997,1.248761,arrow
1.061495,3.336505,2.186734,0.655397,3311,8.105006,4.479527,1.939598,arrow
0.113545,2.120806,1.743755,0.822213,1482,7.301148,4.742659,0.473475,arrow
0.580756,3.021989,2.00034,0.661929,6048,8.707483,4.743418,1.388011,arrow
1.185933,3.986598,2.249916,0.56437,2528,7.835184,4.445412,1.653575,arrow
0.872555,6.678637,2.784337,0.416902,2632,7.875499,4.291958,0.902263,arrow
1.22955,2.146707,1.770296,0.824657,4066,8.310415,4.73222,1.485254,arrow
0.300363,2.397697,1.689603,0.704677,3955,8.282736,4.773192,0.937354,arrow
1.256206,2.047961,1.700579,0.830377,5166,8.549854,4.886604,1.927506,arrow
0.167339,2.315087,1.70928,0.738322,3700,8.216088,5.011279,0.729159,arrow
1.194554,3.489776,2.315064,0.663385,2592,7.860185,4.466964,1.435268,arrow
1.079378,4.496068,2.375293,0.528304,2698,7.900266,4.388624,1.47317,arrow
0.517893,3.742527,2.218318,0.592733,4214,8.346168,4.594916,1.321577,arrow
1.14231,4.268027,2.253133,0.52791,2997,8.005367,4.489204,1.666271,arrow
